Date,Service_Type,Region,Cost_USD,Cost_Category,Department,Usage_Hours,Resource_Tags
2024-01-01,API Gateway,eu-west-1,53.32,On-Demand,Warehouse Ops,11.4,warehouse-ops-api gateway
2024-01-16,Lambda (Serverless),ap-south-1,87.16,Spot,Fleet Management,21.7,fleet-management-lambda
2024-02-28,Route 53 (DNS),eu-west-1,9.95,On-Demand,Data Engineering,16.0,data-engineering-route 53
2024-10-09,Route 53 (DNS),ap-southeast-1,1.22,Spot,Platform / DevOps,12.0,platform-/-devops-route 53
2024-02-23,SNS (Notifications),ap-southeast-1,3.75,Savings Plan,Warehouse Ops,15.7,warehouse-ops-sns
2024-01-11,S3 (Storage),us-west-2,94.29,Spot,Logistics,16.9,logistics-s3
2024-01-02,EKS (Kubernetes),us-east-1,562.3,Spot,Fleet Management,17.6,fleet-management-eks
2024-04-01,Redshift (Data Warehouse),ap-south-1,101.22,On-Demand,Platform / DevOps,11.6,platform-/-devops-redshift
2024-02-01,Route 53 (DNS),ap-southeast-1,9.38,Reserved,Procurement,10.0,procurement-route 53
2024-11-28,EKS (Kubernetes),ap-southeast-1,200.47,Spot,Data Engineering,14.6,data-engineering-eks
2024-07-06,ElastiCache (Caching),us-west-2,75.4,On-Demand,Warehouse Ops,13.0,warehouse-ops-elasticache
2024-03-07,RDS (Database),eu-west-1,298.27,On-Demand,Data Engineering,10.4,data-engineering-rds
2024-12-16,API Gateway,us-west-2,31.68,Spot,Logistics,20.2,logistics-api gateway
2024-02-15,SNS (Notifications),eu-west-1,13.8,Reserved,Fleet Management,1.0,fleet-management-sns
2024-06-02,CloudFront (CDN),us-east-1,84.54,Reserved,Procurement,19.2,procurement-cloudfront
2024-06-08,ElastiCache (Caching),ap-south-1,132.38,On-Demand,Procurement,20.7,procurement-elasticache
2024-10-12,EKS (Kubernetes),ap-south-1,125.95,Spot,Data Engineering,16.6,data-engineering-eks
2024-10-16,S3 (Storage),us-west-2,109.61,On-Demand,Data Engineering,6.7,data-engineering-s3
2024-04-07,DynamoDB (NoSQL),us-east-1,125.61,On-Demand,Data Engineering,10.9,data-engineering-dynamodb
2024-06-13,ElastiCache (Caching),us-east-1,149.22,On-Demand,Procurement,15.1,procurement-elasticache
2024-12-18,SNS (Notifications),eu-west-1,15.65,Spot,Warehouse Ops,14.5,warehouse-ops-sns
2024-04-11,DynamoDB (NoSQL),us-east-1,106.13,Spot,Data Engineering,15.4,data-engineering-dynamodb
2024-12-25,SageMaker (ML),us-east-1,152.19,Savings Plan,Platform / DevOps,15.3,platform-/-devops-sagemaker
2024-05-30,SageMaker (ML),ap-south-1,106.11,Spot,Logistics,12.0,logistics-sagemaker
2024-11-08,SQS (Queue),us-west-2,30.85,Reserved,Warehouse Ops,18.4,warehouse-ops-sqs
2024-05-14,ElastiCache (Caching),us-east-1,136.86,Reserved,Warehouse Ops,6.4,warehouse-ops-elasticache
2024-01-05,EC2 (Compute),ap-southeast-1,323.23,On-Demand,Fleet Management,8.3,fleet-management-ec2
2024-01-30,SQS (Queue),eu-west-1,19.73,Savings Plan,Warehouse Ops,3.4,warehouse-ops-sqs
2024-12-18,Route 53 (DNS),eu-west-1,3.58,Savings Plan,Data Engineering,4.7,data-engineering-route 53
2024-02-16,S3 (Storage),us-east-1,23.98,Spot,Warehouse Ops,19.2,warehouse-ops-s3
2024-12-17,CloudFront (CDN),eu-west-1,65.63,Savings Plan,Data Engineering,3.4,data-engineering-cloudfront
2024-12-14,RDS (Database),ap-south-1,229.87,On-Demand,Logistics,2.1,logistics-rds
2024-02-11,DynamoDB (NoSQL),ap-south-1,149.66,Savings Plan,Warehouse Ops,5.3,warehouse-ops-dynamodb
2024-09-03,CloudWatch (Monitoring),us-west-2,31.86,Savings Plan,Data Engineering,5.8,data-engineering-cloudwatch
2024-06-21,Lambda (Serverless),ap-southeast-1,56.1,Spot,Data Engineering,15.2,data-engineering-lambda
2024-07-13,SageMaker (ML),us-west-2,288.82,Reserved,Fleet Management,11.7,fleet-management-sagemaker
2024-05-04,API Gateway,ap-south-1,43.25,Spot,Platform / DevOps,18.3,platform-/-devops-api gateway
2024-12-10,Redshift (Data Warehouse),us-west-2,394.47,Savings Plan,Fleet Management,17.2,fleet-management-redshift
2024-09-10,CloudFront (CDN),eu-west-1,56.17,On-Demand,Platform / DevOps,16.9,platform-/-devops-cloudfront
2024-04-09,EC2 (Compute),us-west-2,448.66,On-Demand,Platform / DevOps,9.9,platform-/-devops-ec2
2024-05-26,SQS (Queue),us-east-1,13.65,Reserved,Fleet Management,11.0,fleet-management-sqs
2024-05-15,API Gateway,ap-southeast-1,39.35,Spot,Procurement,1.7,procurement-api gateway
2024-08-21,DynamoDB (NoSQL),us-east-1,170.18,On-Demand,Procurement,4.8,procurement-dynamodb
2024-01-05,Redshift (Data Warehouse),eu-west-1,175.41,On-Demand,Logistics,23.9,logistics-redshift
2024-11-21,Route 53 (DNS),us-west-2,3.75,Spot,Procurement,15.6,procurement-route 53
2024-06-19,RDS (Database),ap-southeast-1,221.86,Spot,Data Engineering,12.2,data-engineering-rds
2024-08-20,SQS (Queue),us-west-2,11.75,Reserved,Logistics,1.9,logistics-sqs
2024-07-27,EC2 (Compute),us-west-2,279.61,Savings Plan,Logistics,17.6,logistics-ec2
2024-10-09,ElastiCache (Caching),us-east-1,72.82,On-Demand,Logistics,22.0,logistics-elasticache
2024-07-06,EKS (Kubernetes),us-west-2,324.35,On-Demand,Logistics,22.7,logistics-eks
2024-08-16,EKS (Kubernetes),ap-southeast-1,,Reserved,Platform / DevOps,14.9,platform-/-devops-eks
2024-08-02,ElastiCache (Caching),us-east-1,80.32,Spot,Warehouse Ops,13.6,warehouse-ops-elasticache
2024-02-10,EC2 (Compute),ap-south-1,375.14,Reserved,Fleet Management,2.6,fleet-management-ec2
2024-05-18,SNS (Notifications),ap-southeast-1,3.21,Spot,Logistics,7.9,logistics-sns
2024-11-05,SageMaker (ML),us-east-1,208.37,Spot,Platform / DevOps,10.0,platform-/-devops-sagemaker
2024-12-01,SQS (Queue),us-east-1,20.01,Reserved,Warehouse Ops,15.1,warehouse-ops-sqs
2024-03-27,DynamoDB (NoSQL),eu-west-1,68.65,On-Demand,Platform / DevOps,24.0,platform-/-devops-dynamodb
2024-08-08,EC2 (Compute),ap-southeast-1,425.14,Reserved,Platform / DevOps,4.3,platform-/-devops-ec2
2024-11-06,RDS (Database),us-east-1,285.86,Reserved,Logistics,9.5,logistics-rds
2024-04-14,EC2 (Compute),ap-southeast-1,121.06,Spot,Logistics,15.2,logistics-ec2
2024-12-22,Redshift (Data Warehouse),ap-southeast-1,194.42,Spot,Fleet Management,12.6,fleet-management-redshift
2024-10-16,ElastiCache (Caching),us-west-2,92.83,Savings Plan,Procurement,12.6,procurement-elasticache
2024-10-16,Lambda (Serverless),us-west-2,55.56,Savings Plan,Procurement,13.7,procurement-lambda
2024-03-22,Route 53 (DNS),us-east-1,1.55,Savings Plan,Platform / DevOps,22.6,platform-/-devops-route 53
2024-04-27,API Gateway,us-west-2,19.45,Savings Plan,Logistics,5.2,logistics-api gateway
2024-11-05,API Gateway,ap-south-1,63.14,Reserved,Procurement,7.9,procurement-api gateway
2024-09-11,API Gateway,us-west-2,21.9,Savings Plan,Data Engineering,15.1,data-engineering-api gateway
2024-04-06,SQS (Queue),eu-west-1,16.84,Spot,Logistics,14.2,logistics-sqs
2024-01-17,EC2 (Compute),ap-southeast-1,367.02,Savings Plan,Procurement,19.4,procurement-ec2
2024-04-09,Lambda (Serverless),us-east-1,15.62,On-Demand,Platform / DevOps,11.8,platform-/-devops-lambda
2024-02-03,API Gateway,us-west-2,52.81,Reserved,Data Engineering,20.0,data-engineering-api gateway
2024-02-25,Redshift (Data Warehouse),ap-southeast-1,188.51,Spot,Logistics,8.2,logistics-redshift
2024-07-15,EKS (Kubernetes),eu-west-1,343.74,On-Demand,Warehouse Ops,19.7,warehouse-ops-eks
2024-12-18,RDS (Database),ap-south-1,373.55,Reserved,Data Engineering,19.9,data-engineering-rds
2024-11-27,S3 (Storage),us-east-1,105.9,Savings Plan,Platform / DevOps,7.8,platform-/-devops-s3
2024-07-20,ElastiCache (Caching),us-west-2,96.17,Savings Plan,Procurement,20.8,procurement-elasticache
2024-12-28,EC2 (Compute),ap-south-1,174.68,Savings Plan,Warehouse Ops,18.5,warehouse-ops-ec2
2024-04-19,CloudWatch (Monitoring),us-west-2,13.26,Reserved,Procurement,2.8,procurement-cloudwatch
2024-12-08,Route 53 (DNS),eu-west-1,5.63,Reserved,Fleet Management,23.9,fleet-management-route 53
2024-02-19,S3 (Storage),us-west-2,26.17,On-Demand,Logistics,6.1,logistics-s3
2024-10-19,EKS (Kubernetes),ap-southeast-1,418.75,Spot,Data Engineering,23.8,data-engineering-eks
2024-12-29,SageMaker (ML),ap-south-1,403.47,On-Demand,Fleet Management,6.1,fleet-management-sagemaker
2024-12-31,EKS (Kubernetes),ap-south-1,184.11,On-Demand,Procurement,13.0,procurement-eks
2024-07-07,EKS (Kubernetes),ap-southeast-1,448.53,Spot,Platform / DevOps,11.9,platform-/-devops-eks
2024-03-10,RDS (Database),us-west-2,234.59,Reserved,Procurement,16.2,procurement-rds
2024-03-05,DynamoDB (NoSQL),us-east-1,81.9,On-Demand,Platform / DevOps,15.8,platform-/-devops-dynamodb
2024-06-06,Route 53 (DNS),us-east-1,2.44,Reserved,Data Engineering,10.7,data-engineering-route 53
2024-06-05,SQS (Queue),us-east-1,21.42,On-Demand,Fleet Management,1.7,fleet-management-sqs
2024-01-03,SNS (Notifications),us-east-1,15.11,On-Demand,Fleet Management,3.5,fleet-management-sns
2024-05-14,Lambda (Serverless),us-east-1,27.06,Reserved,Data Engineering,6.7,data-engineering-lambda
2024-01-26,EKS (Kubernetes),us-east-1,155.04,Spot,Warehouse Ops,20.1,warehouse-ops-eks
2024-04-24,CloudWatch (Monitoring),us-west-2,31.98,Reserved,Logistics,3.8,logistics-cloudwatch
2024-03-03,DynamoDB (NoSQL),us-west-2,152.29,Reserved,Platform / DevOps,16.1,platform-/-devops-dynamodb
2024-02-26,EC2 (Compute),us-west-2,98.71,On-Demand,Fleet Management,5.6,fleet-management-ec2
2024-07-15,SageMaker (ML),us-east-1,141.34,Reserved,Data Engineering,12.8,data-engineering-sagemaker
2024-04-28,EC2 (Compute),ap-southeast-1,420.55,Reserved,Fleet Management,12.5,fleet-management-ec2
2024-06-05,RDS (Database),us-west-2,100.63,Savings Plan,Platform / DevOps,22.8,platform-/-devops-rds
2024-07-23,CloudFront (CDN),ap-southeast-1,21.6,Reserved,Data Engineering,14.2,data-engineering-cloudfront
2024-09-15,DynamoDB (NoSQL),ap-south-1,140.7,Reserved,Warehouse Ops,3.2,warehouse-ops-dynamodb
2024-08-30,ElastiCache (Caching),us-west-2,112.93,Spot,Warehouse Ops,17.1,warehouse-ops-elasticache
2024-04-13,Route 53 (DNS),ap-southeast-1,9.82,On-Demand,Fleet Management,11.8,fleet-management-route 53
2024-09-18,SQS (Queue),us-west-2,11.34,Spot,Procurement,22.0,procurement-sqs
2024-09-28,API Gateway,eu-west-1,56.83,On-Demand,Fleet Management,7.0,fleet-management-api gateway
2024-06-06,RDS (Database),us-east-1,183.02,Spot,Platform / DevOps,3.4,platform-/-devops-rds
2024-05-30,CloudFront (CDN),us-east-1,77.95,Savings Plan,Platform / DevOps,9.1,platform-/-devops-cloudfront
2024-03-19,CloudWatch (Monitoring),eu-west-1,13.12,Savings Plan,Logistics,6.7,logistics-cloudwatch
2024-04-23,SNS (Notifications),us-east-1,24.73,Reserved,Warehouse Ops,7.4,warehouse-ops-sns
2024-05-31,CloudFront (CDN),eu-west-1,72.07,Savings Plan,Logistics,4.5,logistics-cloudfront
2024-04-29,SageMaker (ML),us-east-1,107.03,On-Demand,Warehouse Ops,7.6,warehouse-ops-sagemaker
2024-05-19,RDS (Database),us-east-1,219.17,Reserved,Data Engineering,5.7,data-engineering-rds
2024-03-19,RDS (Database),us-east-1,199.56,On-Demand,Procurement,9.3,procurement-rds
2024-12-31,Lambda (Serverless),eu-west-1,61.29,Savings Plan,Fleet Management,15.1,fleet-management-lambda
2024-09-25,SageMaker (ML),ap-southeast-1,286.79,Spot,Data Engineering,7.1,data-engineering-sagemaker
2024-10-24,CloudFront (CDN),us-east-1,78.05,On-Demand,Platform / DevOps,6.2,platform-/-devops-cloudfront
2024-03-21,CloudFront (CDN),eu-west-1,39.15,Savings Plan,Platform / DevOps,16.2,platform-/-devops-cloudfront
2024-06-09,SageMaker (ML),us-east-1,208.0,Spot,Platform / DevOps,5.9,platform-/-devops-sagemaker
2024-08-18,RDS (Database),ap-southeast-1,172.38,Spot,Procurement,10.1,procurement-rds
2024-02-10,EKS (Kubernetes),us-west-2,216.58,Savings Plan,Procurement,12.3,procurement-eks
2024-06-23,SNS (Notifications),ap-southeast-1,6.54,Reserved,Warehouse Ops,7.6,warehouse-ops-sns
2024-01-16,SageMaker (ML),us-west-2,194.22,Reserved,Data Engineering,5.1,data-engineering-sagemaker
2024-01-01,EC2 (Compute),ap-southeast-1,320.46,Reserved,Platform / DevOps,6.1,platform-/-devops-ec2
2024-10-24,ElastiCache (Caching),ap-south-1,66.43,Savings Plan,Logistics,2.1,logistics-elasticache
2024-07-28,EC2 (Compute),ap-southeast-1,164.04,Reserved,Logistics,3.6,logistics-ec2
2024-11-27,API Gateway,ap-southeast-1,51.68,On-Demand,Logistics,16.8,logistics-api gateway
2024-11-07,SNS (Notifications),us-west-2,6.92,Reserved,Warehouse Ops,11.2,warehouse-ops-sns
2024-02-24,CloudWatch (Monitoring),us-east-1,25.41,Savings Plan,Logistics,14.5,logistics-cloudwatch
2024-12-27,Lambda (Serverless),us-west-2,99.91,Savings Plan,Procurement,1.6,procurement-lambda
2024-09-01,Redshift (Data Warehouse),ap-south-1,177.0,Savings Plan,Platform / DevOps,11.7,platform-/-devops-redshift
2024-11-20,SQS (Queue),ap-south-1,29.0,Reserved,Fleet Management,5.1,fleet-management-sqs
2024-09-15,EKS (Kubernetes),ap-south-1,395.56,Reserved,Logistics,14.1,logistics-eks
2024-06-18,ElastiCache (Caching),eu-west-1,48.13,On-Demand,Logistics,15.3,logistics-elasticache
2024-02-07,SageMaker (ML),us-west-2,895.94,Reserved,Logistics,9.6,logistics-sagemaker
2024-12-22,API Gateway,us-west-2,21.48,Savings Plan,Procurement,4.8,procurement-api gateway
2024-04-02,DynamoDB (NoSQL),us-east-1,169.85,On-Demand,Procurement,14.7,procurement-dynamodb
2024-01-29,DynamoDB (NoSQL),eu-west-1,59.45,On-Demand,Procurement,7.3,procurement-dynamodb
2024-06-28,EC2 (Compute),us-west-2,94.25,On-Demand,Platform / DevOps,20.8,platform-/-devops-ec2
2024-08-04,SageMaker (ML),ap-south-1,346.54,Savings Plan,Warehouse Ops,8.2,warehouse-ops-sagemaker
2024-09-12,SQS (Queue),us-east-1,19.39,Reserved,Warehouse Ops,16.7,warehouse-ops-sqs
2024-10-28,RDS (Database),eu-west-1,243.78,Spot,Fleet Management,1.7,fleet-management-rds
2024-06-22,RDS (Database),us-west-2,268.57,Spot,Platform / DevOps,17.4,platform-/-devops-rds
2024-06-30,DynamoDB (NoSQL),ap-southeast-1,83.16,Savings Plan,Fleet Management,13.8,fleet-management-dynamodb
2024-10-01,EKS (Kubernetes),us-east-1,365.43,Spot,Logistics,18.4,logistics-eks
2024-05-02,SQS (Queue),ap-south-1,9.34,On-Demand,Warehouse Ops,8.9,warehouse-ops-sqs
2024-03-14,Lambda (Serverless),ap-southeast-1,76.03,Spot,Warehouse Ops,21.9,warehouse-ops-lambda
2024-05-27,EKS (Kubernetes),eu-west-1,348.93,Reserved,Platform / DevOps,6.9,platform-/-devops-eks
2024-12-11,API Gateway,eu-west-1,91.11,Reserved,Procurement,16.9,procurement-api gateway
2024-07-11,SageMaker (ML),ap-southeast-1,295.45,On-Demand,Procurement,21.0,procurement-sagemaker
2024-08-04,ElastiCache (Caching),us-east-1,71.64,On-Demand,Platform / DevOps,23.2,platform-/-devops-elasticache
2024-01-26,S3 (Storage),eu-west-1,47.28,On-Demand,Warehouse Ops,4.4,warehouse-ops-s3
2024-02-07,RDS (Database),eu-west-1,268.89,Reserved,Warehouse Ops,22.1,warehouse-ops-rds
2024-12-15,DynamoDB (NoSQL),ap-south-1,170.56,Savings Plan,Fleet Management,21.5,fleet-management-dynamodb
2024-11-29,EKS (Kubernetes),ap-southeast-1,450.68,On-Demand,Data Engineering,21.2,data-engineering-eks
2024-07-01,Route 53 (DNS),us-west-2,9.9,Spot,Procurement,22.3,procurement-route 53
2024-07-23,ElastiCache (Caching),ap-southeast-1,38.35,Savings Plan,Procurement,8.5,procurement-elasticache
2024-05-02,Route 53 (DNS),ap-south-1,5.45,Savings Plan,Logistics,9.0,logistics-route 53
2024-10-31,ElastiCache (Caching),us-west-2,63.46,Reserved,Warehouse Ops,2.6,warehouse-ops-elasticache
2024-06-22,DynamoDB (NoSQL),ap-southeast-1,134.67,Spot,Warehouse Ops,14.4,warehouse-ops-dynamodb
2024-11-07,Lambda (Serverless),us-east-1,61.86,Savings Plan,Logistics,19.2,logistics-lambda
2024-05-26,SNS (Notifications),ap-south-1,17.57,On-Demand,Fleet Management,7.3,fleet-management-sns
2024-01-14,S3 (Storage),ap-south-1,53.33,Spot,Fleet Management,20.7,fleet-management-s3
2024-01-17,Lambda (Serverless),ap-south-1,197.6,Spot,Logistics,11.5,logistics-lambda
2024-12-05,Route 53 (DNS),us-east-1,7.57,Reserved,Fleet Management,7.6,fleet-management-route 53
2024-01-29,DynamoDB (NoSQL),ap-south-1,41.06,Savings Plan,Data Engineering,15.8,data-engineering-dynamodb
2024-10-23,S3 (Storage),ap-southeast-1,63.4,Savings Plan,Fleet Management,21.9,fleet-management-s3
2024-02-02,Route 53 (DNS),ap-southeast-1,1.98,Spot,Warehouse Ops,6.5,warehouse-ops-route 53
2024-07-07,EC2 (Compute),ap-southeast-1,137.89,Savings Plan,Data Engineering,13.9,data-engineering-ec2
2024-03-30,RDS (Database),us-east-1,264.81,On-Demand,Logistics,3.0,logistics-rds
2024-04-27,Redshift (Data Warehouse),eu-west-1,90.62,Savings Plan,Warehouse Ops,11.0,warehouse-ops-redshift
2024-02-12,SageMaker (ML),ap-south-1,264.94,On-Demand,Platform / DevOps,14.6,platform-/-devops-sagemaker
2024-04-21,Redshift (Data Warehouse),ap-southeast-1,246.64,Spot,Warehouse Ops,6.8,warehouse-ops-redshift
2024-07-09,Route 53 (DNS),us-east-1,6.82,Spot,Logistics,10.2,logistics-route 53
2024-01-13,EC2 (Compute),us-west-2,184.61,Spot,Platform / DevOps,2.6,platform-/-devops-ec2
2024-08-10,RDS (Database),eu-west-1,176.54,Reserved,Platform / DevOps,5.5,platform-/-devops-rds
2024-10-15,Route 53 (DNS),us-east-1,8.31,Reserved,Logistics,2.1,logistics-route 53
2024-05-15,Lambda (Serverless),ap-southeast-1,66.08,Savings Plan,Platform / DevOps,3.0,platform-/-devops-lambda
2024-04-22,ElastiCache (Caching),us-east-1,39.31,On-Demand,Procurement,13.4,procurement-elasticache
2024-06-05,SQS (Queue),us-east-1,3.06,Reserved,Procurement,1.4,procurement-sqs
2024-04-26,Lambda (Serverless),us-west-2,60.98,Spot,Procurement,10.9,procurement-lambda
2024-02-22,SQS (Queue),us-east-1,12.64,On-Demand,Fleet Management,4.8,fleet-management-sqs
2024-01-16,SNS (Notifications),ap-south-1,17.22,Spot,Fleet Management,9.8,fleet-management-sns
2024-10-15,SNS (Notifications),ap-south-1,2.78,On-Demand,Procurement,17.4,procurement-sns
2024-04-06,S3 (Storage),us-west-2,95.28,Reserved,Fleet Management,9.8,fleet-management-s3
2024-03-05,DynamoDB (NoSQL),ap-southeast-1,82.41,Savings Plan,Logistics,16.3,logistics-dynamodb
2024-03-27,EC2 (Compute),ap-southeast-1,136.13,Spot,Warehouse Ops,16.1,warehouse-ops-ec2
2024-04-20,SageMaker (ML),ap-south-1,100.18,On-Demand,Logistics,14.6,logistics-sagemaker
2024-07-19,API Gateway,us-west-2,24.62,Reserved,Data Engineering,15.6,data-engineering-api gateway
2024-08-21,EKS (Kubernetes),ap-southeast-1,155.81,Reserved,Data Engineering,5.7,data-engineering-eks
2024-04-08,ElastiCache (Caching),ap-south-1,86.51,Reserved,Platform / DevOps,18.7,platform-/-devops-elasticache
2024-09-11,API Gateway,us-east-1,46.44,Savings Plan,Warehouse Ops,18.0,warehouse-ops-api gateway
2024-10-10,CloudFront (CDN),ap-south-1,78.0,Reserved,Logistics,17.1,logistics-cloudfront
2024-04-19,SQS (Queue),us-east-1,20.04,On-Demand,Logistics,2.0,logistics-sqs
2024-06-02,Lambda (Serverless),ap-south-1,44.94,Savings Plan,Platform / DevOps,2.7,platform-/-devops-lambda
2024-03-11,API Gateway,ap-southeast-1,42.98,Reserved,Data Engineering,17.7,data-engineering-api gateway
2024-09-09,ElastiCache (Caching),ap-southeast-1,41.97,On-Demand,Data Engineering,23.9,data-engineering-elasticache
2024-04-14,Redshift (Data Warehouse),eu-west-1,175.64,Reserved,Platform / DevOps,14.4,platform-/-devops-redshift
2024-11-14,SNS (Notifications),ap-south-1,21.68,Savings Plan,Procurement,4.3,procurement-sns
2024-01-28,SNS (Notifications),ap-south-1,16.42,Spot,Data Engineering,22.9,data-engineering-sns
2024-06-05,DynamoDB (NoSQL),ap-south-1,38.94,Reserved,Logistics,20.5,logistics-dynamodb
2024-09-14,Lambda (Serverless),ap-south-1,10.72,On-Demand,Platform / DevOps,4.2,platform-/-devops-lambda
2024-11-12,SageMaker (ML),eu-west-1,210.21,Savings Plan,Warehouse Ops,11.8,warehouse-ops-sagemaker
2024-07-17,ElastiCache (Caching),eu-west-1,103.78,Spot,Procurement,16.8,procurement-elasticache
2024-08-25,CloudWatch (Monitoring),ap-south-1,35.89,Reserved,Warehouse Ops,5.9,warehouse-ops-cloudwatch
2024-11-16,API Gateway,us-west-2,22.62,Reserved,Procurement,17.0,procurement-api gateway
2024-03-08,SQS (Queue),eu-west-1,22.92,Reserved,Fleet Management,4.3,fleet-management-sqs
2024-12-11,S3 (Storage),ap-southeast-1,140.65,Savings Plan,Data Engineering,2.1,data-engineering-s3
2024-06-29,EC2 (Compute),ap-southeast-1,274.05,Savings Plan,Platform / DevOps,7.2,platform-/-devops-ec2
2024-10-17,SNS (Notifications),us-east-1,10.31,On-Demand,Fleet Management,3.2,fleet-management-sns
2024-01-24,API Gateway,us-east-1,34.71,Reserved,Platform / DevOps,18.5,platform-/-devops-api gateway
2024-09-21,CloudWatch (Monitoring),ap-south-1,46.28,On-Demand,Logistics,1.6,logistics-cloudwatch
2024-07-09,Lambda (Serverless),us-east-1,12.06,Spot,Procurement,6.8,procurement-lambda
2024-12-20,SageMaker (ML),ap-southeast-1,443.58,Spot,Platform / DevOps,6.6,platform-/-devops-sagemaker
2024-11-14,Lambda (Serverless),us-east-1,31.56,Reserved,Warehouse Ops,16.9,warehouse-ops-lambda
2024-11-07,SageMaker (ML),us-west-2,372.61,On-Demand,Data Engineering,12.1,data-engineering-sagemaker
2024-07-10,CloudFront (CDN),eu-west-1,21.93,Savings Plan,Procurement,9.4,procurement-cloudfront
2024-04-18,API Gateway,us-west-2,47.63,On-Demand,Data Engineering,21.1,data-engineering-api gateway
2024-10-31,EKS (Kubernetes),us-west-2,405.72,On-Demand,Platform / DevOps,22.0,platform-/-devops-eks
2024-12-08,SNS (Notifications),eu-west-1,3.21,Spot,Data Engineering,3.6,data-engineering-sns
2024-10-22,SNS (Notifications),us-west-2,11.39,Savings Plan,Warehouse Ops,19.2,warehouse-ops-sns
2024-08-09,SQS (Queue),us-west-2,22.4,Savings Plan,Procurement,1.5,procurement-sqs
2024-05-24,SQS (Queue),us-east-1,14.05,Spot,Procurement,7.3,procurement-sqs
2024-06-13,SNS (Notifications),us-east-1,9.56,Reserved,Platform / DevOps,15.6,platform-/-devops-sns
2024-10-21,DynamoDB (NoSQL),ap-southeast-1,123.62,Reserved,Procurement,20.5,procurement-dynamodb
2024-11-15,RDS (Database),ap-south-1,305.04,Reserved,Procurement,8.3,procurement-rds
2024-08-05,CloudWatch (Monitoring),us-west-2,9.27,Reserved,Fleet Management,13.4,fleet-management-cloudwatch
2024-01-14,DynamoDB (NoSQL),eu-west-1,96.31,Savings Plan,Platform / DevOps,7.1,platform-/-devops-dynamodb
2024-10-19,API Gateway,ap-south-1,52.71,Savings Plan,Warehouse Ops,10.6,warehouse-ops-api gateway
2024-07-30,API Gateway,ap-south-1,34.05,Reserved,Warehouse Ops,23.4,warehouse-ops-api gateway
2024-08-24,RDS (Database),us-east-1,713.88,Reserved,Fleet Management,19.6,fleet-management-rds
2024-07-24,API Gateway,us-east-1,28.67,On-Demand,Data Engineering,23.9,data-engineering-api gateway
2024-02-16,DynamoDB (NoSQL),us-east-1,49.8,Spot,Procurement,14.1,procurement-dynamodb
2024-06-13,Redshift (Data Warehouse),us-west-2,72.33,Reserved,Procurement,14.0,procurement-redshift
2024-02-04,S3 (Storage),ap-southeast-1,106.03,Reserved,Platform / DevOps,23.8,platform-/-devops-s3
2024-02-27,API Gateway,ap-southeast-1,54.98,Reserved,Platform / DevOps,6.1,platform-/-devops-api gateway
2024-07-27,Lambda (Serverless),eu-west-1,54.45,Reserved,Platform / DevOps,23.4,platform-/-devops-lambda
2024-08-06,RDS (Database),ap-south-1,326.1,Reserved,Procurement,4.6,procurement-rds
2024-09-01,RDS (Database),us-east-1,213.38,Spot,Fleet Management,18.3,fleet-management-rds
2024-08-27,DynamoDB (NoSQL),ap-southeast-1,124.37,On-Demand,Procurement,21.1,procurement-dynamodb
2024-10-20,CloudFront (CDN),us-east-1,85.84,On-Demand,Platform / DevOps,16.0,platform-/-devops-cloudfront
2024-01-28,API Gateway,eu-west-1,59.82,Savings Plan,Warehouse Ops,22.1,warehouse-ops-api gateway
2024-05-10,Lambda (Serverless),us-west-2,7.76,Savings Plan,Procurement,17.2,procurement-lambda
2024-08-18,S3 (Storage),ap-southeast-1,109.86,Spot,Data Engineering,5.9,data-engineering-s3
2024-05-16,S3 (Storage),us-west-2,94.31,Savings Plan,Fleet Management,21.8,fleet-management-s3
2024-08-09,Lambda (Serverless),ap-south-1,31.47,Reserved,Platform / DevOps,10.7,platform-/-devops-lambda
2024-12-15,EC2 (Compute),ap-south-1,199.28,Savings Plan,Fleet Management,9.7,fleet-management-ec2
2024-09-22,API Gateway,ap-southeast-1,36.96,Spot,Logistics,10.1,logistics-api gateway
2024-09-16,SQS (Queue),us-west-2,14.45,Spot,Platform / DevOps,16.6,platform-/-devops-sqs
2024-07-23,Redshift (Data Warehouse),ap-southeast-1,249.68,Savings Plan,Logistics,23.1,logistics-redshift
2024-09-08,Redshift (Data Warehouse),us-west-2,168.9,Savings Plan,Logistics,19.5,logistics-redshift
2024-04-05,RDS (Database),ap-southeast-1,251.66,On-Demand,Warehouse Ops,7.7,warehouse-ops-rds
2024-04-28,Redshift (Data Warehouse),ap-south-1,221.34,Spot,Data Engineering,2.0,data-engineering-redshift
2024-05-18,Route 53 (DNS),us-east-1,2.5,Reserved,Platform / DevOps,3.5,platform-/-devops-route 53
2024-01-08,EC2 (Compute),us-west-2,414.79,Savings Plan,Fleet Management,17.0,fleet-management-ec2
2024-07-11,SQS (Queue),ap-southeast-1,19.54,Reserved,Data Engineering,8.7,data-engineering-sqs
2024-03-10,Redshift (Data Warehouse),ap-south-1,295.54,On-Demand,Logistics,17.2,logistics-redshift
2024-01-10,EKS (Kubernetes),eu-west-1,452.13,Spot,Procurement,7.4,procurement-eks
2024-12-08,DynamoDB (NoSQL),eu-west-1,87.58,On-Demand,Fleet Management,6.2,fleet-management-dynamodb
